bl_bi24latitude,bl_bi24longitude,bl_dw15,bl_dw16,bl_dw19,bl_dw20,bl_dw21,bl_dw23,bl_dw25,bl_dw31,bl_dw32,bl_dw33,bl_dw34,bl_dw36,bl_dw39,bl_dw40,bl_dw41,bl_dw42,bl_dw44,bl_dw45,bl_dw46,bl_dw47,bl_dw52,bl_dw53,bl_dw54,bl_dw56,bl_dw57,bl_dw59,bl_dw61,bl_dw63,bl_dw64,bl_dw72,bl_dw73,bl_sd13,bl_sd14,bl_sd15,bl_sd24_piazza,bl_sd24_leghar,bl_sd26,bl_sd27,bl_sd28,bl_sd33,bl_sd35,bl_sd36,bl_sd43,bl_sd45,bl_sd46,bl_sd48,bl_sd49,bl_sd50,bl_sd51,a01
9.0899506,38.526909,1,3,1,14,2,2,2,1,,,,,1,1,2,,1,3,2,,4,2,2,1,1,5,1,5,6,1,7,4,1,1,55,60,15,5,55,1,5,1,1,2,15,1,1,1,1,1
9.0905304,38.527943,1,2,1,2,2,2,1,1,,,,,1,2,2,,1,5,2,,2,1,,1,1,1,1,5,10,1,7,4,1,2,90,90,15,5,90,2,5,2,2,2,15,-888,-888,-888,-888,2
9.0925426,38.527569,1,3,2,,2,2,2,1,,,,,1,2,1,1,5,1,2,,1,1,,1,1,-999,1,2,6,1,7,5,1,3,90,90,15,10,90,1,5,2,2,3,15,-888,-888,-888,-888,3
9.0913734,38.529331,1,3,1,1,2,2,2,1,,,,,1,1,2,,4,1,2,,4,2,2,1,1,5,1,5,6,1,7,4,1,2,90,90,15,5,90,2,5,2,1,7,25,2,2,2,2,4
9.088623,38.52795,1,2,1,6,2,2,2,1,,,,,1,3,2,,5,1,2,,4,2,1,1,1,1,1,10,4,1,7,2,2,1,80,80,10,3,80,1,5,2,1,2,20,2,2,2,2,5
9.0914745,38.528152,1,2,1,2,2,2,2,1,,,,,1,3,2,,5,1,2,,4,2,2,1,1,1,1,5,6,1,7,5,2,3,45,60,15,3,45,2,5,2,1,2,15,2,2,2,2,6
9.0893059,38.526394,1,2,1,2,2,2,2,1,,,,,1,1,1,1,4,1,2,,4,2,2,1,1,1,1,5,6,1,7,4,2,2,80,90,15,2,90,1,6,2,1,2,20,2,2,2,2,7
9.0834789,38.518665,1,3,1,2,2,2,4,2,8,3,10,2,1,1,2,,5,2,2,,4,2,2,2,,,,,,3,7,5,3,4,60,60,15,10,60,2,25,2,1,2,15,2,2,2,2,8
9.0900335,38.519661,1,2,1,14,2,2,2,1,,,,,1,1,2,,5,1,2,,4,2,2,1,1,5,1,10,6,1,5,2,2,1,60,60,10,10,60,1,5,2,2,1,7,2,2,2,2,9
9.0843668,38.512291,1,2,1,15,2,2,4,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,10,12,1,7,2,2,1,60,60,10,10,60,2,5,2,1,2,10,2,2,2,2,10
9.0928745,38.527142,1,2,1,5,2,2,2,1,,,,,1,2,1,2,5,1,2,,4,2,2,1,1,-999,1,6,6,1,5,5,3,3,60,60,20,6,60,1,5,2,1,2,10,2,2,2,2,11
9.0871,38.526218,1,2,2,,2,2,1,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,20,2,1,7,4,2,2,90,90,15,5,90,2,5,2,1,1,10,2,2,2,2,12
9.0780344,38.51408,2,3,1,2,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,2,5,6,1,7,5,3,4,90,90,15,15,90,1,5,2,2,3,15,2,2,2,2,13
9.0887842,38.51675,1,2,1,14,2,2,2,1,,,,,1,3,2,,5,1,2,,4,2,2,1,1,1,1,15,6,1,1,2,2,1,45,45,10,10,45,1,5,2,2,2,5,2,-888,-888,2,14
9.0937443,38.526253,1,3,1,5,2,2,2,1,,,,,-999,,2,,5,3,2,,4,2,2,1,1,5,1,6,6,1,7,5,2,4,60,60,15,5,60,1,5,2,1,2,12,2,2,2,2,15
9.0875273,38.524067,1,3,1,5,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,6,6,1,7,5,2,3,90,90,15,5,90,1,5,2,2,3,10,2,-888,-888,2,16
9.0874643,38.524624,1,3,2,,2,1,2,1,,,,,1,2,1,3,5,1,2,,4,2,2,1,1,-999,1,5,7,1,7,5,2,3,60,60,15,5,60,1,5,2,2,2,15,-888,-888,-888,-888,17
9.0864811,38.514183,2,3,1,2,2,1,2,1,,,,,1,3,1,4,3,1,2,,4,2,2,1,1,-999,1,5,12,1,7,2,2,1,50,50,10,10,50,1,5,2,2,5,15,2,-888,-888,-888,18
9.0691862,38.498657,1,2,1,15,1,2,5,1,,,,,1,3,2,,5,-888,2,,1,1,,1,1,1,1,1,24,1,1,1,1,1,60,-888,5,5,60,2,3,-888,1,1,5,3,3,2,3,19
9.0427427,38.395473,1,2,1,3,2,2,2,1,,,,,1,3,2,,5,20,2,,4,2,2,1,1,1,1,3,2,1,5,5,3,4,120,120,10,10,120,1,3,2,2,4,20,2,2,2,2,20
9.040391,38.392616,1,3,1,6,2,2,2,1,,,,,1,1,2,,5,5,2,,4,2,2,1,1,5,1,3,6,1,7,5,2,3,60,60,15,15,60,1,3,2,2,4,20,2,2,2,2,21
9.0400162,38.391994,1,3,1,10,2,1,2,1,,,,,1,2,2,,5,15,2,,4,2,2,1,1,5,1,2,3,1,7,5,2,3,60,60,15,15,60,1,3,2,1,6,60,2,2,2,2,22
9.0465012,38.397141,1,3,1,2,2,2,2,1,,,,,1,2,2,,4,1,2,,4,2,2,1,1,5,1,5,6,1,7,5,2,4,60,60,20,20,60,1,4,2,1,5,30,2,2,2,2,23
9.042182,38.392063,1,2,1,1,2,2,2,1,,,,,1,3,2,,4,5,2,,4,2,2,1,1,5,1,3,6,1,7,5,2,4,60,60,15,15,60,1,5,2,1,2,25,2,2,2,2,24
9.0431051,38.394108,1,3,1,2,2,2,2,1,,,,,1,2,2,,5,15,2,,4,2,2,1,1,5,1,6,5,1,7,5,2,3,-888,-888,15,20,-888,1,3,2,1,3,30,2,2,2,2,25
9.0656128,38.531441,1,3,1,5,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,6,6,1,7,2,2,1,90,90,15,5,90,2,5,2,1,4,30,2,2,2,2,26
9.0416746,38.393112,1,2,1,5,2,2,2,1,,,,,1,2,2,,5,5,2,,4,2,2,1,1,1,1,2,6,1,7,5,2,4,-888,-888,15,15,-888,1,3,2,2,4,25,-888,-888,-888,-888,27
9.0409727,38.393757,1,2,2,,1,2,2,1,,,,,1,3,2,,5,5,2,,1,2,2,1,1,1,2,2,4,1,7,5,2,3,75,75,20,20,75,1,4,2,1,4,20,2,2,2,2,28
9.0409632,38.396564,1,3,1,3,2,2,2,1,,,,,5,,2,,5,2,2,,4,2,2,1,1,1,1,5,5,1,7,4,2,2,90,90,20,20,90,2,4,2,2,4,20,-888,-888,-888,-888,29
9.0415277,38.392086,1,2,2,,2,2,2,1,,,,,1,1,2,,4,1,2,,4,2,2,1,1,1,1,0,,1,1,5,2,3,90,90,15,15,90,1,4,2,1,3,20,2,2,2,2,30
9.0454998,38.393963,1,3,1,5,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,5,4,1,7,4,2,1,60,70,5,5,60,2,2,2,2,3,15,2,2,2,2,31
9.0418339,38.39463,1,3,1,5,2,2,2,1,,,,,1,2,1,2,5,5,2,,4,2,2,1,1,1,1,4,5,1,5,5,2,3,90,90,15,15,90,1,4,3,2,4,20,2,2,2,2,32
9.0431194,38.392815,1,2,1,3,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,5,4,1,7,5,2,3,90,90,15,15,90,1,4,2,1,4,25,2,4,2,2,33
9.0421314,38.394512,1,2,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,3,2,1,5,5,2,3,60,60,15,15,60,1,4,2,1,3,20,2,2,2,2,34
9.0465536,38.397034,1,2,1,2,2,1,2,1,,,,,1,2,1,5,5,1,2,,4,2,2,1,1,-999,1,2,7,1,5,5,2,4,90,90,10,10,90,2,2.5,-888,2,2,20,-888,-888,-888,-888,35
9.0425787,38.39748,1,3,1,3,2,2,2,1,,,,,1,2,1,4,5,15,2,,4,2,2,1,1,1,1,2,5,1,5,5,2,3,90,95,15,15,90,1,3,2,2,4,15,-888,-888,-888,-888,36
9.0420647,38.38942,1,3,1,2,2,2,2,1,,,,,5,,2,,5,5,2,,4,2,2,1,1,1,1,4,5,1,7,4,2,2,45,45,15,15,45,2,2,2,1,3,20,2,2,2,2,37
9.0403709,38.393475,1,3,1,2,2,2,3,1,,,,,5,,2,,5,5,2,,4,2,2,2,,,,,,4,7,5,2,4,-888,-888,20,20,60,2,2,-888,1,3,30,2,2,2,2,38
9.0408678,38.389973,1,3,2,,2,2,2,1,,,,,1,2,2,,5,2,2,,4,2,2,1,1,1,1,5,5,1,7,4,2,2,90,100,15,15,90,2,4,3,1,1,10,2,2,2,2,39
9.0421906,38.394985,1,2,2,,2,2,2,1,,,,,1,2,2,,5,3,2,,4,2,2,1,1,1,1,5,5,1,1,5,2,3,60,75,15,15,60,1,2,2,2,3,20,2,2,2,2,40
9.0503988,38.508564,1,2,1,6,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,10,5,1,7,5,2,4,60,60,20,20,60,1,20,2,1,3,25,2,2,2,2,41
9.0502586,38.51133,1,3,1,5,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,2,5,6,1,7,4,2,3,60,75,20,20,60,1,3,2,1,2.5,20,1,2,1,1,42
9.0485048,38.509804,1,2,1,3,2,2,2,1,,,,,1,2,2,,5,2,2,,4,2,2,1,1,1,2,4,6,1,7,4,2,3,60,60,25,25,60,2,4,2,1,3,25,2,2,2,2,43
9.034318,38.516651,8,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,2,5,4,1,7,5,4,4,60,60,25,25,60,1,4,2,1,2.5,20,2,2,2,2,44
9.0524025,38.507526,1,2,1,10,2,2,2,1,,,,,1,2,1,3,5,1,2,,4,1,,1,1,-999,1,4,6,1,7,5,2,4,60,60,15,15,60,1,3,2,1,1,10,2,2,2,2,45
9.0517235,38.507374,8,3,2,,1,2,2,1,,,,,1,2,1,1,5,1,2,,4,2,2,1,1,5,1,6,4,1,7,5,2,4,60,-888,20,20,60,2,3,2,1,1,10,2,2,2,2,46
9.0541277,38.508183,2,3,1,2,2,2,2,1,,,,,5,,2,,5,5,2,,4,2,2,2,,,,,,4,7,4,2,2,-888,-888,20,20,-888,1,3,2,1,2,15,2,2,2,2,47
9.0350685,38.479866,2,3,1,2,2,2,1,1,,,,,1,2,2,,-999,5,2,,4,2,2,1,1,1,2,10,12,1,7,5,2,4,105,105,35,35,105,1,5,2,1,1,20,2,2,2,2,48
9.0514164,38.509396,1,2,1,4,2,1,2,1,,,,,1,2,1,1,-999,5,2,,4,2,2,1,1,1,1,30,1,1,7,5,5,3,70,150,60,15,80,1,3,2,1,1.5,40,2,2,2,2,49
9.0428839,38.481922,2,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,2,6,6,1,7,5,4,4,75,75,20,20,75,1,5,2,2,1,5,2,2,2,2,50
9.0415745,38.395741,1,3,-888,,2,2,2,1,,,,,5,,2,,6,5,2,,4,2,2,1,1,5,1,5,6,1,5,5,2,4,90,90,10,10,90,1,3,2,2,-888,,-888,-888,-888,-888,51
9.0402174,38.477081,2,3,2,,1,2,4,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,5,6,1,2,4,2,3,90,90,20,20,90,2,5,3,1,1,10,2,2,2,2,52
9.0433702,38.479244,2,3,2,,2,2,2,1,,,,,1,3,2,,5,1,2,,4,2,2,1,1,1,2,1,1,1,7,4,2,3,45,45,15,15,45,2,5,2,1,1,5,2,2,2,2,53
9.0383663,38.478748,1,3,2,,2,2,2,1,,,,,5,,2,,5,1,2,,4,2,2,2,,,,,,4,7,5,2,4,-888,-888,20,20,-888,1,-888,2,2,1,10,2,2,2,2,54
9.0356998,38.477856,2,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,1,6,6,1,7,5,2,4,60,60,15,15,60,2,4,2,1,2,15,2,2,2,2,55
9.0488758,38.510197,8,3,2,,2,2,2,1,,,,,1,3,1,1,5,1,2,,4,2,2,1,1,5,1,3,6,1,7,4,2,3,-888,-888,15,15,-888,2,3,2,1,2,15,2,4,2,2,56
9.0824366,38.514702,1,2,1,6,2,2,2,1,,,,,1,3,2,,4,1,2,,4,2,2,1,1,1,2,10,6,1,7,5,3,4,90,90,15,15,90,2,5,4,1,5,20,2,2,2,2,57
9.0534105,38.470562,1,3,1,3,1,2,2,2,3,3,1,2,1,3,2,,5,30,2,,4,2,2,2,,,,,,1,7,5,2,4,90,90,15,15,90,1,3,2,1,2,40,2,2,2,2,58
9.0716267,38.502388,1,2,1,22,2,1,4,1,,,,,1,1,2,,5,-777,2,,1,2,2,1,1,1,1,15,5,1,6,2,4,2,60,60,60,5,40,2,5,5,2,6,60,-888,-888,-888,-888,59
