bl_bi24latitude,bl_bi24longitude,bl_dw15,bl_dw16,bl_dw19,bl_dw20,bl_dw21,bl_dw23,bl_dw25,bl_dw31,bl_dw32,bl_dw33,bl_dw34,bl_dw36,bl_dw39,bl_dw40,bl_dw41,bl_dw42,bl_dw44,bl_dw45,bl_dw46,bl_dw47,bl_dw52,bl_dw53,bl_dw54,bl_dw56,bl_dw57,bl_dw59,bl_dw61,bl_dw63,bl_dw64,bl_dw72,bl_dw73,bl_sd13,bl_sd14,bl_sd15,bl_sd24_piazza,bl_sd24_leghar,bl_sd26,bl_sd27,bl_sd28,bl_sd33,bl_sd35,bl_sd36,bl_sd43,bl_sd45,bl_sd46,bl_sd48,bl_sd49,bl_sd50,bl_sd51,a01
9.0899506,38.526909,Home Piped Water,Outside the yard,Yes,14,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Collected by local authority,3,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,5,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, very safe","Yes, always",55,60,15,5,55,Yes,5,Very Satisfied,Yes,2,15,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,1
9.0905304,38.527943,Home Piped Water,In own yard/plot,Yes,2,No,No,Very Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Collected by local authority,5,No,,Discharge into drains,Yes,,Yes,Utility company/government,Paper bill,Yes,5,10,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, very safe","Yes, most of the time",90,90,15,5,90,No,5,Satisfied,No,2,15,Don't know,Don't know,Don't know,Don't know,2
9.0925426,38.527569,Home Piped Water,Outside the yard,No,,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,1,Dumped,1,No,,Discharge in open area/compound,Yes,,Yes,Utility company/government,Other (specify),Yes,2,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, very safe",Rarely,90,90,15,10,90,Yes,5,Satisfied,No,3,15,Don't know,Don't know,Don't know,Don't know,3
9.0913734,38.529331,Home Piped Water,Outside the yard,Yes,1,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Burning,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,5,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, very safe","Yes, most of the time",90,90,15,5,90,No,5,Satisfied,Yes,7,25,Satisfied,Satisfied,Satisfied,Satisfied,4
9.088623,38.52795,Home Piped Water,In own yard/plot,Yes,6,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,Yes,Yes,Utility company/government,Paper bill,Yes,10,4,Electric connection through power lines/solar power,Fire Wood,Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",80,80,10,3,80,Yes,5,Satisfied,Yes,2,20,Satisfied,Satisfied,Satisfied,Satisfied,5
9.0914745,38.528152,Home Piped Water,In own yard/plot,Yes,2,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,45,60,15,3,45,No,5,Satisfied,Yes,2,15,Satisfied,Satisfied,Satisfied,Satisfied,6
9.0893059,38.526394,Home Piped Water,In own yard/plot,Yes,2,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),Yes,1,Burning,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,5,6,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",80,90,15,2,90,Yes,6,Satisfied,Yes,2,20,Satisfied,Satisfied,Satisfied,Satisfied,7
9.0834789,38.518665,Home Piped Water,Outside the yard,Yes,2,No,No,Dissatisfied,No,Unprotected spring water/Unprotected well,Outside the yard,10,No,Pit latrine,Shallow (less than 3 meters),No,,Dumped,2,No,,A hole in the yard or outside,No,No,No,,,,,,Torch/flashlight/electric lantern,Fire Wood,Dirt,Neutral - neither safe or unsafe,"No, not at all",60,60,15,10,60,No,25,Satisfied,Yes,2,15,Satisfied,Satisfied,Satisfied,Satisfied,8
9.0900335,38.519661,Home Piped Water,In own yard/plot,Yes,14,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,10,6,Electric connection through power lines/solar power,"Coal, Lignite",Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",60,60,10,10,60,Yes,5,Satisfied,No,1,7,Satisfied,Satisfied,Satisfied,Satisfied,9
9.0843668,38.512291,Home Piped Water,In own yard/plot,Yes,15,No,No,Dissatisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,10,12,Electric connection through power lines/solar power,Fire Wood,Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",60,60,10,10,60,No,5,Satisfied,Yes,2,10,Satisfied,Satisfied,Satisfied,Satisfied,10
9.0928745,38.527142,Home Piped Water,In own yard/plot,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,2,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Other (specify),Yes,6,6,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,Neutral - neither safe or unsafe,Rarely,60,60,20,6,60,Yes,5,Satisfied,Yes,2,10,Satisfied,Satisfied,Satisfied,Satisfied,11
9.0871,38.526218,Home Piped Water,In own yard/plot,No,,No,No,Very Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,20,2,Electric connection through power lines/solar power,Fire Wood,Gravel,"Yes, somewhat safe","Yes, most of the time",90,90,15,5,90,No,5,Satisfied,Yes,1,10,Satisfied,Satisfied,Satisfied,Satisfied,12
9.0780344,38.51408,Public Tap /Standpipe Water,Outside the yard,Yes,2,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,No,5,6,Electric connection through power lines/solar power,Fire Wood,Dirt,Neutral - neither safe or unsafe,"No, not at all",90,90,15,15,90,Yes,5,Satisfied,No,3,15,Satisfied,Satisfied,Satisfied,Satisfied,13
9.0887842,38.51675,Home Piped Water,In own yard/plot,Yes,14,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,15,6,Electric connection through power lines/solar power,Electricity,Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",45,45,10,10,45,Yes,5,Satisfied,No,2,5,Satisfied,Don't know,Don't know,Satisfied,14
9.0937443,38.526253,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Other (specify),,No,,Dumped,3,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,6,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,15,5,60,Yes,5,Satisfied,Yes,2,12,Satisfied,Satisfied,Satisfied,Satisfied,15
9.0875273,38.524067,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,6,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,90,90,15,5,90,Yes,5,Satisfied,No,3,10,Satisfied,Don't know,Don't know,Satisfied,16
9.0874643,38.524624,Home Piped Water,Outside the yard,No,,No,Yes,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),Yes,3,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Other (specify),Yes,5,7,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,60,60,15,5,60,Yes,5,Satisfied,No,2,15,Don't know,Don't know,Don't know,Don't know,17
9.0864811,38.514183,Public Tap /Standpipe Water,Outside the yard,Yes,2,No,Yes,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),Yes,4,Garbage pit/buried,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Other (specify),Yes,5,12,Electric connection through power lines/solar power,Fire Wood,Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",50,50,10,10,50,Yes,5,Satisfied,No,5,15,Satisfied,Don't know,Don't know,Don't know,18
9.0691862,38.498657,Home Piped Water,In own yard/plot,Yes,15,Yes,No,Very Dissatisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,-888,No,,Discharge in open area/compound,Yes,,Yes,Utility company/government,Paper bill,Yes,1,24,Electric connection through power lines/solar power,Electricity,Tarmac/asphalt/paved - good quality,"Yes, very safe","Yes, always",60,-888,5,5,60,No,3,Don't know,Yes,1,5,Neutral,Neutral,Satisfied,Neutral,19
9.0427427,38.395473,Home Piped Water,In own yard/plot,Yes,3,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Dumped,20,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,3,2,Electric connection through power lines/solar power,"Coal, Lignite",Dirt,Neutral - neither safe or unsafe,"No, not at all",120,120,10,10,120,Yes,3,Satisfied,No,4,20,Satisfied,Satisfied,Satisfied,Satisfied,20
9.040391,38.392616,Home Piped Water,Outside the yard,Yes,6,No,No,Satisfied,Yes,,,,,Pit latrine,Shallow (less than 3 meters),No,,Dumped,5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,3,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,60,60,15,15,60,Yes,3,Satisfied,No,4,20,Satisfied,Satisfied,Satisfied,Satisfied,21
9.0400162,38.391994,Home Piped Water,Outside the yard,Yes,10,No,Yes,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,15,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,2,3,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,60,60,15,15,60,Yes,3,Satisfied,Yes,6,60,Satisfied,Satisfied,Satisfied,Satisfied,22
9.0465012,38.397141,Home Piped Water,Outside the yard,Yes,2,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Burning,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,5,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,20,20,60,Yes,4,Satisfied,Yes,5,30,Satisfied,Satisfied,Satisfied,Satisfied,23
9.042182,38.392063,Home Piped Water,In own yard/plot,Yes,1,No,No,Satisfied,Yes,,,,,Pit latrine,Deep (more than 3 meters),No,,Burning,5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,3,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",60,60,15,15,60,Yes,5,Satisfied,Yes,2,25,Satisfied,Satisfied,Satisfied,Satisfied,24
9.0431051,38.394108,Home Piped Water,Outside the yard,Yes,2,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,15,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Cash to neighbors,Yes,6,5,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe",Rarely,-888,-888,15,20,-888,Yes,3,Satisfied,Yes,3,30,Satisfied,Satisfied,Satisfied,Satisfied,25
9.0656128,38.531441,Home Piped Water,Outside the yard,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,1,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,6,6,Electric connection through power lines/solar power,Fire Wood,Tarmac/asphalt/paved - poor quality,"Yes, somewhat safe","Yes, always",90,90,15,5,90,No,5,Satisfied,Yes,4,30,Satisfied,Satisfied,Satisfied,Satisfied,26
9.0416746,38.393112,Home Piped Water,In own yard/plot,Yes,5,No,No,Satisfied,Yes,,,,,Pit latrine,Standard (about 3 meters),No,,Dumped,5,No,,A hole in the yard or outside,No,No,Yes,Utility company/government,Paper bill,Yes,2,6,Electric connection through power lines/solar power,Fire Wood,Dirt,"Yes, somewhat safe","No, not at all",-888,-888,15,15,-888,Yes,3,Satisfied,No,4,25,Don't know,Don't know,Don't know,Don't know,27
